N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
15,0.333,0.212,0.5,4.284610010483485,0.0,643,1,2
15,0.333,0.252,0.5,4.310833983303041,0.0,643,1,2
15,0.333,0.293,0.5,4.357300675635374,0.0,643,1,2
15,0.333,0.333,0.5,4.414669243635152,0.0,643,1,2
15,0.333,0.374,0.5,4.420630750854884,0.0,643,1,2
15,0.333,0.414,0.5,4.43277254163897,0.0,643,1,2
15,0.333,0.454,0.5,4.440377443760847,0.0,643,1,2
15,0.333,0.495,0.5,4.439672871615611,0.0,643,1,2
15,0.333,0.535,0.5,4.449373553646882,0.0,643,1,2
15,0.333,0.576,0.5,4.452978384449745,0.0,643,1,2
15,0.333,0.616,0.5,4.458711194487421,0.0,643,1,2
15,0.333,0.656,0.5,4.458278370001579,0.0,643,1,2
15,0.333,0.697,0.5,4.462896252187632,0.0003147428900307,643,2,2
15,0.333,0.737,0.5,4.46580603717002,0.0,643,1,2
15,0.333,0.778,0.5,4.4628870971361,0.0,643,1,2
15,0.374,0.01,0.5,1.5588382392869653,0.0,643,1,2
15,0.374,0.05,0.5,3.0850162130954595,0.0,643,1,2
15,0.374,0.091,0.5,3.9920829362072014,0.0,643,1,2
15,0.374,0.131,0.5,4.222238313227125,0.0,643,1,2
15,0.374,0.172,0.5,4.310625630175817,0.0,643,1,2
15,0.374,0.212,0.5,4.418743859614506,0.0,643,1,2
15,0.374,0.252,0.5,4.416913981979299,0.0,643,1,2
15,0.374,0.293,0.5,4.427339420982625,0.0,643,1,2
15,0.374,0.333,0.5,4.464861298649188,0.0,643,1,2
15,0.374,0.374,0.5,4.4616757865257535,0.0,643,1,2
15,0.374,0.414,0.5,4.470474973209179,0.0,643,1,2
15,0.374,0.454,0.5,4.46985679113067,0.0009488911518564,643,2,2
15,0.374,0.495,0.5,4.473425475977425,0.0007824912433931,643,2,2
15,0.374,0.535,0.5,4.475706243573303,0.0,643,1,2
15,0.374,0.576,0.5,0.8990261312885535,0.0,643,1,2
15,0.374,0.616,0.5,4.477370130524105,0.0,643,1,2
15,0.374,0.656,0.5,4.480109945344951,0.0,643,1,2
15,0.374,0.697,0.5,4.4806551476256296,0.0,643,1,2
15,0.374,0.737,0.5,4.483561141546832,0.0,643,1,2
15,0.374,0.778,0.5,4.481681339175625,0.0,643,1,2
15,0.414,0.01,0.5,2.1480518098329253,0.1612006203176692,643,2,2
15,0.414,0.05,0.5,3.579110915457707,0.0174188979121328,643,2,2
15,0.414,0.091,0.5,4.145741525971193,0.0801160810936516,643,2,2
15,0.414,0.131,0.5,4.384631974863767,0.0,643,1,2
15,0.414,0.172,0.5,4.418286622810489,0.0012575011718016,643,2,2
15,0.414,0.212,0.5,4.436702887114137,0.0043394580945856,643,2,2
15,0.414,0.252,0.5,4.462050649418275,0.0008351069919738,643,2,2
15,0.414,0.293,0.5,4.469516560408894,0.0,643,1,4
15,0.414,0.333,0.5,4.47736669931458,0.0,643,1,2
15,0.414,0.374,0.5,4.478503598225116,0.0005326642556826,643,2,2
15,0.414,0.414,0.5,4.483794703406299,0.0,643,1,2
15,0.414,0.454,0.5,4.486299787598881,0.0001537980110111,643,2,2
15,0.414,0.495,0.5,4.488050929278489,0.000831039204189,643,2,2
15,0.414,0.535,0.5,4.486862981492029,0.0002349004977051,643,2,2
15,0.414,0.576,0.5,4.489834202849592,0.0006642771255505,643,2,2
15,0.414,0.616,0.5,4.489065768253539,0.0002810038683045,643,2,2
15,0.414,0.656,0.5,4.488839721876737,0.0002966705843925,643,2,2
15,0.414,0.697,0.5,4.491587006756491,0.0007697787852123,643,2,2
15,0.414,0.737,0.5,4.490764097632876,0.0004037184478935,643,2,2
15,0.414,0.778,0.5,4.489751045223771,0.0002208109059309,643,2,2
15,0.454,0.01,0.5,2.4653444510141185,0.1205561426163233,643,2,2
15,0.454,0.05,0.5,3.673664770773632,0.0229758819288845,643,2,2
15,0.454,0.091,0.5,4.283326102411744,0.0230074638841268,643,2,2
15,0.454,0.131,0.5,4.420349930150742,0.0068070855806117,643,2,2
15,0.454,0.172,0.5,4.457026439637064,0.0018063705604505,643,2,2
15,0.454,0.212,0.5,4.465221705751594,0.0003774576660067,643,2,2
15,0.454,0.252,0.5,4.478974887864148,0.0,643,1,4
15,0.454,0.293,0.5,4.482189970253375,0.0016093699837202,643,2,2
15,0.454,0.333,0.5,4.486315414304881,0.0,643,1,2
15,0.454,0.374,0.5,4.486514370861067,7.31720875171149e-05,643,2,2
15,0.454,0.414,0.5,4.492253238598652,0.0,643,1,2
15,0.454,0.454,0.5,4.492137370441123,0.0003773646714502,643,2,2
15,0.454,0.495,0.5,4.492366447770435,6.285033418151897e-07,643,2,2
15,0.454,0.535,0.5,4.494285894580191,0.0001802472860559,643,2,2
15,0.454,0.576,0.5,4.492331688374809,0.0010297913490511,643,2,2
15,0.454,0.616,0.5,4.493154277618434,8.481897770051816e-05,643,2,2
15,0.454,0.656,0.5,4.493644873235898,0.0008074006017193,643,2,2
15,0.454,0.697,0.5,4.49478918886154,0.0,643,1,4
15,0.454,0.737,0.5,4.494438857141741,0.0001964841384927,643,2,2
15,0.454,0.778,0.5,4.494465375806689,0.0004212579508471,643,2,2
15,0.495,0.01,0.5,2.5656267308358536,0.013474580404301,643,2,2
15,0.495,0.05,0.5,4.029356243860734,0.0004628150916152,643,2,2
15,0.495,0.091,0.5,4.343753385393258,0.0002704175654946,643,2,2
15,0.495,0.131,0.5,4.439756626262019,0.0005114083635526,643,2,2
15,0.495,0.172,0.5,4.470237837114352,0.0015536477037412,643,2,2
15,0.495,0.212,0.5,4.481234222523378,0.0003660302530534,643,2,2
