N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
12,0.22111,0.7854,0.0,2.8411452051408705,0.14699836929566024,92,24,1
12,0.24557,0.7854,0.0,3.0953479343536703,0.073189794307853,92,24,1
12,0.27002,0.7854,0.0,3.269867886199503,0.051403817636173056,92,24,1
12,0.29448,0.7854,0.0,3.3783141057296917,0.026721729448089662,92,22,3
12,0.31894,0.7854,0.0,3.4427885708823442,0.029229442319935586,92,25,0
12,0.34339,0.7854,0.0,3.490402045330496,0.02970982366058134,92,25,0
12,0.36785,0.7854,0.0,3.520041090899461,0.017710547319394213,92,25,0
12,0.39231,0.7854,0.0,3.538723566685236,0.008337058465553554,92,22,3
12,0.41755,0.7854,0.0,3.5509225570930782,0.009836765559532445,92,25,0
12,0.44201,0.7854,0.0,3.559679779687717,0.010527298311698411,92,25,0
12,0.46646,0.7854,0.0,3.5656501499905495,0.004739222731344245,92,24,1
12,0.49092,0.7854,0.0,3.569473758744789,0.007148954625781708,92,23,2
12,0.51538,0.7854,0.0,3.5726546944557582,0.006173042317906679,92,24,1
12,0.53983,0.7854,0.0,3.5720709543980997,0.004836784047493081,92,24,1
12,0.56429,0.7854,0.0,3.571886709450357,0.00503426821717805,92,23,2
12,0.58874,0.7854,0.0,3.5604570362243315,0.011796338076181667,92,25,0
12,0.6132,0.7854,0.0,3.553992280825053,0.017808791472157092,92,24,1
12,0.63766,0.7854,0.0,3.5166989532609607,0.04019610498794281,92,25,0
12,0.66211,0.7854,0.0,3.4539188986721685,0.07921066677499708,92,25,0
12,0.68657,0.7854,0.0,3.3692398812614033,0.09342960075058053,92,25,0
12,0.71103,0.7854,0.0,3.30293342892598,0.10749998574465618,92,24,1
12,0.73548,0.7854,0.0,3.0494998458227487,0.15415328979264722,92,21,4
12,0.75994,0.7854,0.0,3.075091464207277,0.262686690592068,92,23,2
12,0.7844,0.7854,0.0,2.813088515458369,0.41863228136577163,92,25,0
