N,J,Jz,magnetization,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances,thrown_instances
13,0.392,0.78,0.5,0.9943024576163508,0.0014578329701518,,55,0
13,0.418,0.78,0.5,0.9964957145057908,0.0009311828048614,,55,0
13,0.442,0.78,0.5,0.9978776684369368,0.0008651653983702,,55,0
13,0.466,0.78,0.5,0.9987333282988908,0.0005914562680208,,55,0
13,0.491,0.78,0.5,0.9992227214847276,0.0006335813078587,,55,0
13,0.515,0.78,0.5,0.9995722571151436,0.0004770204368232,,55,0
13,0.54,0.78,0.5,0.99977295526819,0.000441250033742,,55,0
13,0.564,0.78,0.5,0.9997641591143928,0.0003895412202274,,55,0
13,0.589,0.78,0.5,0.9994206758367926,0.0004845072769171,,55,0
13,0.613,0.78,0.5,0.9983773841315572,0.001263818279083,,55,0
13,0.638,0.78,0.5,0.9964686803077474,0.0025506377786009,,55,0
13,0.662,0.78,0.5,0.9864908226360394,0.0104487131778934,,55,0
13,0.687,0.78,0.5,0.9685279009859766,0.0189246719309597,,55,0
13,0.711,0.78,0.5,0.9164582002493716,0.0279979130896861,,55,0
13,0.735,0.78,0.5,0.8443532193102856,0.0347436427352376,,55,0
13,0.76,0.78,0.5,0.7656738678698816,0.0394908546754245,,54,1
13,0.784,0.78,0.5,0.7150761642164746,0.0464185589326401,,53,2
14,0.001,0.78,0.0,4.994392051568591e-05,6.5443813088899e-05,,47,4
14,0.025,0.78,0.0,0.0119178741594529,0.008766182750564,,49,2
14,0.05,0.78,0.0,0.04215695081351,0.0214414102826161,,51,0
14,0.074,0.78,0.0,0.096326139056337,0.0375674105856997,,51,0
14,0.099,0.78,0.0,0.161296549612406,0.0306384491606757,,50,0
14,0.123,0.78,0.0,0.2912446032436146,0.0497530101419661,,51,0
14,0.148,0.78,0.0,0.4455170749647424,0.0374778896511194,,50,1
14,0.172,0.78,0.0,0.6327923213166543,0.0400280482450109,,51,0
14,0.197,0.78,0.0,0.7806454947600647,0.0298076935575334,,51,0
14,0.221,0.78,0.0,0.8681919936446514,0.0176158245095408,,51,0
14,0.246,0.78,0.0,0.92323479333909,0.0105165217888661,,51,0
14,0.27,0.78,0.0,0.9537695737146228,0.0068986313611077,,50,1
14,0.294,0.78,0.0,0.9728891721141328,0.0036467158177149,,49,2
14,0.319,0.78,0.0,0.9825975082143084,0.0027153739937559,,51,0
14,0.343,0.78,0.0,0.9897027292105992,0.0015563589606373,,48,3
