N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
14,0.09079,0.41397,PBC,0.0,POLFED,0.5476345693952734,0.0,343,1
14,0.21199,0.69675,PBC,0.0,POLFED,3.557589827575691,0.0,343,1
14,0.73715,0.25238,PBC,0.0,POLFED,3.912665652607736,0.123240631877025,343,2
14,0.61596,0.45437,PBC,0.0,POLFED,4.256973754211266,0.0,343,1
14,0.33318,0.25238,PBC,0.0,POLFED,3.978693543030861,0.0,343,1
14,0.53516,0.09079,PBC,0.0,POLFED,4.1261940288605725,0.0,343,1
14,0.69675,0.21199,PBC,0.0,POLFED,4.101390973038196,0.0,343,1
14,0.41397,0.25238,PBC,0.0,POLFED,4.1838219103302245,0.0,343,1
14,0.09079,0.37357,PBC,0.0,POLFED,0.2677734667142567,0.0,343,1
14,0.73715,0.21199,PBC,0.0,POLFED,3.9074303462060014,0.0784907039332926,343,2
14,0.33318,0.21199,PBC,0.0,POLFED,3.940414862746029,0.0,343,1
14,0.65635,0.41397,PBC,0.0,POLFED,4.250699490961511,0.0,343,1
14,0.77754,0.21199,PBC,0.0,POLFED,1.496122380826806e-05,1.496122380826806e-05,343,2
14,0.41397,0.53516,PBC,0.0,POLFED,4.255136448158419,0.0,343,1
14,0.01,0.21199,PBC,0.0,POLFED,0.0035145484677518,0.0,343,1
14,0.17159,0.0504,PBC,0.0,POLFED,0.5035177402529831,0.0,343,1
14,0.25238,0.0504,PBC,0.0,POLFED,1.097493242849353,0.0,343,1
14,0.09079,0.13119,PBC,0.0,POLFED,0.2342311160792598,0.0,343,1
14,0.41397,0.69675,PBC,0.0,POLFED,4.252656195601136,0.0,343,1
14,0.45437,0.0504,PBC,0.0,POLFED,3.442559951970745,0.0,343,1
14,0.21199,0.21199,PBC,0.0,POLFED,2.45169533398468,0.0,343,1
14,0.49476,0.17159,PBC,0.0,POLFED,4.227768043048518,0.0,343,1
14,0.65635,0.61596,PBC,0.0,POLFED,4.213178966494118,0.0,343,1
14,0.65635,0.13119,PBC,0.0,POLFED,4.073929862827431,0.0,343,1
14,0.37357,0.09079,PBC,0.0,POLFED,3.692824108868319,0.0,343,1
14,0.69675,0.69675,PBC,0.0,POLFED,4.077070509228868,0.0,343,1
14,0.41397,0.01,PBC,0.0,POLFED,1.958942929605388,0.0,343,1
14,0.53516,0.0504,PBC,0.0,POLFED,3.714916914127404,0.0,343,1
14,0.21199,0.53516,PBC,0.0,POLFED,3.417581254953169,0.0,343,1
14,0.17159,0.09079,PBC,0.0,POLFED,0.6452863441299868,0.0,343,1
14,0.77754,0.69675,PBC,0.0,POLFED,1.7250263485076757e-05,1.7250263485076757e-05,343,2
14,0.73715,0.69675,PBC,0.0,POLFED,2.010635994828766,2.010635994828766,343,2
14,0.33318,0.69675,PBC,0.0,POLFED,4.204158569105882,0.0,343,1
14,0.61596,0.57556,PBC,0.0,POLFED,4.260833876636649,0.0,343,1
14,0.09079,0.61596,PBC,0.0,POLFED,0.3856018235104504,0.0,343,1
14,0.21199,0.25238,PBC,0.0,POLFED,3.137731785418118,0.0,343,1
14,0.0504,0.17159,PBC,0.0,POLFED,0.1409542254858669,0.0,343,1
14,0.45437,0.33318,PBC,0.0,POLFED,4.250384703348198,0.0,343,1
14,0.61596,0.65635,PBC,0.0,POLFED,4.25309862431601,0.0,343,1
14,0.01,0.69675,PBC,0.0,POLFED,0.0261605351249887,0.0,343,1
14,0.09079,0.33318,PBC,0.0,POLFED,0.2281669048084137,0.0,343,1
14,0.53516,0.65635,PBC,0.0,POLFED,4.264342897033108,0.0,343,1
14,0.49476,0.73715,PBC,0.0,POLFED,4.262880444249333,0.0,343,1
14,0.13119,0.25238,PBC,0.0,POLFED,0.8173549467352649,0.0,343,1
14,0.53516,0.57556,PBC,0.0,POLFED,4.264849336680706,0.0,343,1
14,0.45437,0.61596,PBC,0.0,POLFED,4.25820397105037,0.0,343,1
14,0.29278,0.41397,PBC,0.0,POLFED,4.041106489678915,0.0,343,1
14,0.73715,0.41397,PBC,0.0,POLFED,8.391734191056427e-27,3.6651868309558935e-27,343,2
14,0.25238,0.21199,PBC,0.0,POLFED,3.2857535568612257,0.0,343,1
14,0.13119,0.53516,PBC,0.0,POLFED,1.386879779677459,0.0,343,1
14,0.77754,0.41397,PBC,0.0,POLFED,4.705730200364132e-12,4.705730200364108e-12,343,2
14,0.37357,0.45437,PBC,0.0,POLFED,4.224109187464778,0.0,343,1
14,0.29278,0.37357,PBC,0.0,POLFED,4.021949294382464,0.0,343,1
14,0.17159,0.45437,PBC,0.0,POLFED,2.4102869075428237,0.0,343,1
14,0.13119,0.21199,PBC,0.0,POLFED,0.9061703225321036,0.0,343,1
14,0.25238,0.53516,PBC,0.0,POLFED,3.879835146223937,0.0,343,1
14,0.57556,0.69675,PBC,0.0,POLFED,4.263881098086916,0.0,343,1
14,0.73715,0.37357,PBC,0.0,POLFED,1.9567918275375225,1.9567918275375225,343,2
14,0.45437,0.13119,PBC,0.0,POLFED,4.133022284523489,0.0,343,1
14,0.25238,0.25238,PBC,0.0,POLFED,3.377731369742927,0.0,343,1
14,0.77754,0.37357,PBC,0.0,POLFED,2.7330377315218593e-10,2.7330377315218593e-10,343,2
14,0.37357,0.29278,PBC,0.0,POLFED,4.155730326767539,0.0,343,1
14,0.65635,0.33318,PBC,0.0,POLFED,4.215496248523683,0.0,343,1
14,0.37357,0.77754,PBC,0.0,POLFED,4.241237364784594,0.0,343,1
14,0.0504,0.73715,PBC,0.0,POLFED,0.2626298350012987,0.0,343,1
14,0.17159,0.77754,PBC,0.0,POLFED,2.678955504569428,0.0,343,1
14,0.17159,0.29278,PBC,0.0,POLFED,1.4076518129577904,0.0,343,1
14,0.57556,0.41397,PBC,0.0,POLFED,4.26426328924112,0.0,343,1
14,0.45437,0.21199,PBC,0.0,POLFED,4.223558986654933,0.0,343,1
14,0.53516,0.17159,PBC,0.0,POLFED,4.238751072355379,0.0,343,1
14,0.13119,0.13119,PBC,0.0,POLFED,0.8705334798171444,0.0,343,1
14,0.25238,0.61596,PBC,0.0,POLFED,3.977071169459904,0.0,343,1
14,0.49476,0.0504,PBC,0.0,POLFED,3.74103602627406,0.0,343,1
14,0.21199,0.33318,PBC,0.0,POLFED,2.5547096971534238,0.0,343,1
14,0.45437,0.25238,PBC,0.0,POLFED,4.232772608493634,0.0,343,1
14,0.57556,0.37357,PBC,0.0,POLFED,4.252403776168017,0.0,343,1
14,0.25238,0.13119,PBC,0.0,POLFED,2.5383526460534647,0.0,343,1
14,0.13119,0.61596,PBC,0.0,POLFED,1.3583432950129315,0.0,343,1
14,0.29278,0.69675,PBC,0.0,POLFED,4.12692540398558,0.0,343,1
14,0.61596,0.73715,PBC,0.0,POLFED,4.245883129527741,0.0,343,1
14,0.45437,0.53516,PBC,0.0,POLFED,4.253671942362731,0.0,343,1
14,0.29278,0.01,PBC,0.0,POLFED,1.5687610054303398,0.0,343,1
14,0.41397,0.37357,PBC,0.0,POLFED,4.2372614125922095,0.0,343,1
14,0.69675,0.41397,PBC,0.0,POLFED,4.21022496826093,0.0,343,1
14,0.09079,0.53516,PBC,0.0,POLFED,0.5873661475412076,0.0,343,1
14,0.33318,0.41397,PBC,0.0,POLFED,4.169688261483044,0.0,343,1
