N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
12,0.292779435,0.696750057,PBC,0.0,POLFED,3.368340239,0.036889842,92,4
12,0.292779435,0.131191187,PBC,0.0,POLFED,2.042893264,0.046650859,92,4
12,0.656352995,0.656352995,PBC,0.0,POLFED,3.503501255,0.021666299,92,4
12,0.696750057,0.37357356,PBC,0.0,POLFED,3.386230735,0.057953969,92,4
12,0.413970622,0.211985311,PBC,0.0,POLFED,3.381770919,0.048405309,92,4
12,0.252382373,0.535161809,PBC,0.0,POLFED,3.099341644,0.048663188,92,4
12,0.01,0.171588249,PBC,0.0,POLFED,0.011633039,0.010262566,92,4
12,0.575558871,0.333176498,PBC,0.0,POLFED,3.557420182,0.002973734,92,4
12,0.454367684,0.494764746,PBC,0.0,POLFED,3.554981819,0.006322965,92,4
12,0.454367684,0.050397062,PBC,0.0,POLFED,2.592039397,0.044410585,92,4
12,0.535161809,0.575558871,PBC,0.0,POLFED,3.57219788,0.000998047,92,4
12,0.131191187,0.494764746,PBC,0.0,POLFED,0.975289584,0.067096204,92,4
12,0.37357356,0.090794124,PBC,0.0,POLFED,2.775338384,0.186217155,92,4
12,0.050397062,0.333176498,PBC,0.0,POLFED,0.169337169,0.067424058,92,4
12,0.37357356,0.73714712,PBC,0.0,POLFED,3.505899562,0.023160912,92,4
12,0.090794124,0.37357356,PBC,0.0,POLFED,0.264557397,0.030522547,92,4
12,0.211985311,0.494764746,PBC,0.0,POLFED,2.557206676,0.093817481,92,4
12,0.615955933,0.575558871,PBC,0.0,POLFED,3.558769974,0.010829889,92,4
12,0.494764746,0.01,PBC,0.0,POLFED,2.138024555,0.079559789,92,4
12,0.494764746,0.454367684,PBC,0.0,POLFED,3.557991648,0.018357191,92,4
12,0.37357356,0.777544182,PBC,0.0,POLFED,3.528228837,0.01213364,92,4
12,0.292779435,0.615955933,PBC,0.0,POLFED,3.346211978,0.010680805,92,4
12,0.37357356,0.413970622,PBC,0.0,POLFED,3.476779209,0.01080714,92,4
12,0.252382373,0.211985311,PBC,0.0,POLFED,2.271679812,0.288322837,92,4
12,0.413970622,0.535161809,PBC,0.0,POLFED,3.542173676,0.008122993,92,4
12,0.777544182,0.050397062,PBC,0.0,POLFED,2.559687382,0.15784478,92,4
12,0.494764746,0.73714712,PBC,0.0,POLFED,3.568285294,0.005729991,92,4
12,0.494764746,0.090794124,PBC,0.0,POLFED,3.119294403,0.048247408,92,4
12,0.413970622,0.333176498,PBC,0.0,POLFED,3.5054058,0.01059952,92,4
12,0.535161809,0.656352995,PBC,0.0,POLFED,3.570340509,0.005495916,92,4
12,0.090794124,0.171588249,PBC,0.0,POLFED,0.295284965,0.176482504,92,4
12,0.37357356,0.454367684,PBC,0.0,POLFED,3.494037901,0.012903336,92,4
12,0.494764746,0.777544182,PBC,0.0,POLFED,3.569812789,0.009734755,92,4
12,0.615955933,0.656352995,PBC,0.0,POLFED,3.545742797,0.025663074,92,4
12,0.575558871,0.211985311,PBC,0.0,POLFED,3.515133169,0.007248775,92,4
12,0.211985311,0.292779435,PBC,0.0,POLFED,2.236922786,0.471311354,92,4
12,0.73714712,0.050397062,PBC,0.0,POLFED,1.312437642,1.313808402,92,4
12,0.131191187,0.292779435,PBC,0.0,POLFED,0.701623134,0.169012358,92,4
12,0.050397062,0.535161809,PBC,0.0,POLFED,0.187382547,0.037585413,92,4
12,0.494764746,0.413970622,PBC,0.0,POLFED,3.565027495,0.005981742,92,4
12,0.575558871,0.535161809,PBC,0.0,POLFED,3.555943868,0.009897643,92,4
12,0.454367684,0.292779435,PBC,0.0,POLFED,3.512728938,0.001773584,92,4
12,0.696750057,0.171588249,PBC,0.0,POLFED,3.189053817,0.065190037,92,4
12,0.050397062,0.211985311,PBC,0.0,POLFED,0.108027973,0.049574861,92,4
12,0.656352995,0.575558871,PBC,0.0,POLFED,3.517221574,0.0239082,92,4
12,0.01,0.37357356,PBC,0.0,POLFED,0.021590888,0.018338642,92,4
12,0.252382373,0.333176498,PBC,0.0,POLFED,2.795607631,0.089042768,92,4
12,0.73714712,0.292779435,PBC,0.0,POLFED,2.25080442,1.30581286,92,4
